index,term_expression,original_index
237,"subset_eq(difference(intersection(A, B), index(cardinality(A), B)), intersection(index(cardinality(B), A), index(cardinality(B), union(A, B))))",7461
238,"subset_eq(difference(index(cardinality(A), B), index(cardinality(B), union(A, B))), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",7811
239,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), difference(B, A))), index(cardinality(difference(B, A)), B))",6484
240,"not(or(and(subset_eq(A, B), subset_eq(B, A)), subset_eq(A, difference(A, A))))",1174
241,"or(subset_eq(index(cardinality(B), union(A, B)), difference(A, B)), subset_eq(index(cardinality(B), A), index(cardinality(B), union(A, B))))",4950
242,"and(and(subset_eq(B, A), not(subset_eq(A, B))), subset_eq(index(cardinality(B), A), B))",464
243,"subset_eq(union(intersection(A, B), index(cardinality(A), B)), index(cardinality(A), index(cardinality(A), B)))",5738
244,"subset_eq(index(cardinality(difference(B, A)), difference(A, B)), difference(index(cardinality(B), A), index(cardinality(A), union(A, B))))",9256
245,"subset_eq(index(cardinality(intersection(A, B)), index(cardinality(B), union(A, B))), index(cardinality(intersection(A, B)), A))",9372
246,"or(and(subset_eq(A, difference(A, B)), greater_than(cardinality(B), cardinality(A))), subset_eq(difference(B, A), index(cardinality(B), union(A, B))))",3580
247,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), union(A, B))), difference(B, index(cardinality(A), B)))",6394
248,"subset_eq(union(index(cardinality(B), A), index(cardinality(B), union(A, B))), union(difference(B, A), index(cardinality(A), B)))",6511
249,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), index(cardinality(difference(A, B)), B))",9215
250,"subset_eq(index(cardinality(A), union(difference(A, B), difference(B, A))), union(B, index(cardinality(B), union(A, B))))",8292
251,"or(equals(cardinality(A), cardinality(B)), subset_eq(A, index(cardinality(A), B)))",3056
252,"or(subset_eq(index(cardinality(B), union(A, B)), A), greater_than(cardinality(A), cardinality(difference(B, A))))",4804
253,"and(not(subset_eq(B, A)), or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))))",276
254,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), difference(union(A, B), index(cardinality(A), union(A, B))))",6141
255,"and(not(and(subset_eq(A, B), subset_eq(B, A))), subset_eq(index(cardinality(A), union(A, B)), union(difference(A, B), difference(B, A))))",1209
256,"and(or(subset_eq(A, B), subset_eq(B, difference(A, A))), subset_eq(index(cardinality(A), B), difference(B, A)))",734
257,"and(not(subset_eq(A, B)), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))))",256
258,"or(subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)), subset_eq(index(cardinality(B), A), index(cardinality(B), union(A, B))))",4928
259,"subset_eq(difference(difference(B, A), index(cardinality(A), B)), index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))))",7642
260,"subset_eq(union(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))), index(cardinality(difference(B, A)), intersection(A, B)))",6874
261,"subset_eq(intersection(A, index(cardinality(B), union(A, B))), union(index(cardinality(A), B), index(cardinality(B), A)))",6914
262,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), difference(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))))",9315
263,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))), intersection(intersection(A, B), index(cardinality(B), union(A, B))))",7931
264,"or(subset_eq(intersection(A, B), index(cardinality(B), A)), equals(cardinality(B), cardinality(difference(A, B))))",4412
265,"or(or(subset_eq(B, A), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))))",3737
266,"subset_eq(union(intersection(A, B), index(cardinality(B), union(A, B))), union(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))))",5851
267,"or(and(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), subset_eq(difference(B, A), index(cardinality(A), difference(B, A))))",3485
268,"and(or(subset_eq(A, difference(A, B)), greater_than(cardinality(B), cardinality(A))), greater_than(cardinality(A), cardinality(difference(B, A))))",1542
269,"subset_eq(intersection(A, B), index(cardinality(intersection(A, B)), A))",5277
270,"or(or(subset_eq(A, difference(A, A)), greater_than(cardinality(A), cardinality(B))), greater_than(cardinality(difference(B, A)), cardinality(A)))",3856
271,"or(and(subset_eq(A, B), not(subset_eq(B, A))), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",3212
272,"and(not(subset_eq(B, difference(A, A))), subset_eq(index(cardinality(A), union(A, B)), difference(A, B)))",1818
273,"subset_eq(index(cardinality(intersection(A, B)), index(cardinality(A), union(A, B))), A)",4051
274,"and(subset_eq(index(cardinality(B), A), difference(A, B)), equals(cardinality(B), cardinality(difference(A, B))))",2493
275,"subset_eq(difference(intersection(A, B), index(cardinality(B), union(A, B))), index(cardinality(difference(A, B)), B))",7528
276,"and(or(not(subset_eq(A, B)), subset_eq(A, difference(A, A))), subset_eq(index(cardinality(A), B), difference(B, A)))",1251
277,"subset_eq(union(index(cardinality(A), B), index(cardinality(A), difference(B, A))), index(cardinality(A), union(A, B)))",2640
278,"and(or(subset_eq(B, A), greater_than(cardinality(B), cardinality(A))), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",1074
279,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), difference(A, B))), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",6375
280,"or(subset_eq(index(cardinality(B), union(A, B)), union(difference(A, B), difference(B, A))), equals(cardinality(intersection(A, B)), cardinality(difference(B, A))))",5110
