index,term_expression,original_index
787,"subset_eq(index(cardinality(difference(A, B)), A), difference(difference(A, B), index(cardinality(B), union(A, B))))",8614
788,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), union(A, B))), index(cardinality(intersection(A, B)), index(cardinality(B), A)))",8192
789,"subset_eq(intersection(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), index(cardinality(difference(A, B)), intersection(A, B)))",7239
790,"or(subset_eq(B, index(cardinality(A), union(A, B))), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",4286
791,"and(not(greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), union(A, B)), difference(A, B)))",1630
792,"not(subset_eq(difference(A, B), index(cardinality(B), difference(A, B))))",5216
793,"and(not(subset_eq(B, A)), subset_eq(difference(B, A), index(cardinality(B), union(A, B))))",298
794,"and(subset_eq(index(cardinality(A), B), A), subset_eq(index(cardinality(B), difference(A, B)), B))",2175
795,"subset_eq(intersection(A, B), index(cardinality(difference(B, A)), B))",5284
796,"or(subset_eq(B, A), subset_eq(intersection(A, B), index(cardinality(A), union(A, B))))",2875
797,"subset_eq(index(cardinality(B), union(A, B)), union(A, index(cardinality(A), B)))",4798
798,"or(or(subset_eq(B, A), greater_than(cardinality(B), cardinality(A))), subset_eq(B, index(cardinality(B), union(A, B))))",3765
799,"or(or(subset_eq(A, B), equals(cardinality(A), cardinality(B))), subset_eq(difference(B, A), index(cardinality(A), union(A, B))))",3642
800,"and(subset_eq(index(cardinality(B), union(A, B)), A), subset_eq(index(cardinality(A), B), index(cardinality(B), union(A, B))))",2351
801,"or(subset_eq(index(cardinality(A), B), A), subset_eq(index(cardinality(A), union(A, B)), union(difference(A, B), difference(B, A))))",4697
802,"and(or(subset_eq(A, difference(A, B)), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(B), A), index(cardinality(A), union(A, B))))",1535
803,"subset_eq(difference(union(difference(A, B), difference(B, A)), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), union(difference(A, B), difference(B, A))))",7777
804,"subset_eq(difference(union(difference(A, B), difference(B, A)), index(cardinality(B), union(A, B))), index(cardinality(difference(A, B)), B))",7766
805,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), difference(B, A))), index(cardinality(difference(B, A)), A))",6483
806,"and(or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B))), not(subset_eq(union(A, B), difference(A, A))))",782
807,"subset_eq(index(cardinality(A), B), index(cardinality(difference(A, A)), intersection(A, B)))",5358
808,"subset_eq(index(cardinality(difference(A, A)), difference(A, B)), difference(index(cardinality(B), A), index(cardinality(B), difference(A, B))))",8976
809,"or(or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), B)))",3884
810,"and(subset_eq(index(cardinality(B), A), B), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",2241
811,"subset_eq(union(index(cardinality(A), difference(B, A)), index(cardinality(B), difference(A, B))), index(cardinality(intersection(A, B)), B))",6820
812,"or(subset_eq(A, index(cardinality(A), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), difference(B, A))))",4150
813,"subset_eq(index(cardinality(A), union(A, B)), union(A, index(cardinality(A), B)))",4743
814,"and(subset_eq(difference(A, B), index(cardinality(B), union(A, B))), subset_eq(index(cardinality(A), B), index(cardinality(A), difference(B, A))))",2083
815,"subset_eq(difference(A, index(cardinality(A), B)), index(cardinality(difference(A, A)), union(A, B)))",7257
816,"or(greater_than(cardinality(B), cardinality(difference(A, B))), greater_than(cardinality(difference(B, A)), cardinality(intersection(A, B))))",3406
817,"and(or(subset_eq(A, B), not(subset_eq(B, A))), or(subset_eq(B, A), subset_eq(A, difference(A, B))))",614
818,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), difference(B, A))), index(cardinality(difference(B, A)), intersection(A, B)))",8231
819,"subset_eq(difference(union(difference(A, B), difference(B, A)), index(cardinality(A), difference(B, A))), index(cardinality(difference(A, A)), union(A, B)))",7755
820,"or(or(subset_eq(A, B), subset_eq(A, difference(A, B))), greater_than(cardinality(difference(A, B)), cardinality(B)))",3625
821,"subset_eq(index(cardinality(difference(A, B)), A), intersection(B, index(cardinality(B), union(A, B))))",8595
822,"subset_eq(difference(index(cardinality(A), B), index(cardinality(A), difference(B, A))), difference(index(cardinality(A), union(A, B)), A))",7790
823,"and(subset_eq(union(difference(A, B), difference(B, A)), index(cardinality(A), B)), greater_than(cardinality(A), cardinality(difference(B, A))))",2633
824,"subset_eq(index(cardinality(intersection(A, B)), B), difference(difference(B, A), index(cardinality(A), difference(B, A))))",8474
825,"and(or(not(subset_eq(B, A)), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))))",1391
826,"or(greater_than(cardinality(A), cardinality(B)), subset_eq(index(cardinality(B), union(A, B)), B))",3131
827,"or(subset_eq(A, index(cardinality(B), A)), greater_than(cardinality(intersection(A, B)), cardinality(difference(B, A))))",4115
828,"subset_eq(difference(B, index(cardinality(A), B)), index(cardinality(difference(A, B)), union(A, B)))",7353
829,"subset_eq(index(cardinality(A), union(A, B)), union(intersection(A, B), index(cardinality(A), difference(B, A))))",4859
830,"subset_eq(index(cardinality(difference(A, A)), intersection(A, B)), index(cardinality(difference(A, A)), union(A, B)))",8966
831,"and(or(not(subset_eq(A, B)), subset_eq(A, difference(A, A))), subset_eq(index(cardinality(B), A), index(cardinality(B), union(A, B))))",1264
832,"subset_eq(index(cardinality(difference(A, A)), intersection(A, B)), index(cardinality(B), A))",5592
833,"subset_eq(difference(difference(B, A), index(cardinality(B), union(A, B))), index(cardinality(difference(A, B)), difference(B, A)))",7704
834,"subset_eq(index(cardinality(B), union(A, B)), difference(B, index(cardinality(A), union(A, B))))",5447
835,"or(subset_eq(index(cardinality(B), union(A, B)), A), subset_eq(index(cardinality(A), union(A, B)), difference(B, A)))",4791
836,"and(or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), union(difference(A, B), difference(B, A))))",812
837,"subset_eq(union(index(cardinality(A), B), index(cardinality(A), difference(B, A))), index(cardinality(intersection(A, B)), B))",6243
838,"subset_eq(intersection(A, index(cardinality(B), union(A, B))), difference(index(cardinality(B), A), index(cardinality(B), difference(A, B))))",6926
839,"not(subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), difference(B, A))))",5240
840,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), difference(union(difference(A, B), difference(B, A)), index(cardinality(A), B)))",7987
841,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), difference(A, B))), index(cardinality(difference(A, B)), B))",6357
842,"subset_eq(index(cardinality(A), union(A, B)), union(index(cardinality(A), B), index(cardinality(B), A)))",5059
843,"or(and(subset_eq(A, B), not(subset_eq(B, A))), subset_eq(B, index(cardinality(B), A)))",3197
844,"or(not(greater_than(cardinality(B), cardinality(A))), subset_eq(A, index(cardinality(B), union(A, B))))",3976
845,"and(not(subset_eq(A, B)), subset_eq(difference(A, B), index(cardinality(B), union(A, B))))",220
846,"and(or(subset_eq(A, B), not(subset_eq(B, A))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), union(A, B))))",669
847,"subset_eq(difference(index(cardinality(B), difference(A, B)), index(cardinality(B), union(A, B))), index(cardinality(difference(A, B)), A))",8285
848,"subset_eq(union(intersection(A, B), index(cardinality(A), union(A, B))), difference(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))))",5807
849,"and(or(subset_eq(A, difference(A, A)), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)))",1448
850,"subset_eq(difference(difference(B, A), index(cardinality(B), union(A, B))), difference(index(cardinality(A), B), index(cardinality(A), difference(B, A))))",7690
851,"or(subset_eq(intersection(A, B), index(cardinality(B), union(A, B))), subset_eq(index(cardinality(B), A), difference(A, B)))",4474
852,"subset_eq(index(cardinality(difference(B, A)), B), index(cardinality(difference(B, A)), union(difference(A, B), difference(B, A))))",8821
853,"subset_eq(union(difference(A, B), index(cardinality(A), union(A, B))), index(cardinality(difference(A, B)), A))",5950
854,"and(subset_eq(index(cardinality(B), union(A, B)), union(difference(A, B), difference(B, A))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(A), union(A, B))))",2780
855,"and(not(subset_eq(A, difference(A, A))), subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(A), B)))",1735
856,"or(or(subset_eq(A, B), not(subset_eq(B, A))), equals(cardinality(B), cardinality(difference(A, B))))",3608
857,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), union(A, B))), difference(index(cardinality(B), A), B))",2482
858,"and(or(subset_eq(A, B), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))))",724
859,"subset_eq(difference(B, A), index(cardinality(difference(A, A)), B))",5318
860,"or(subset_eq(difference(B, A), index(cardinality(A), union(A, B))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))))",4632
861,"or(subset_eq(index(cardinality(A), B), index(cardinality(B), union(A, B))), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",5035
862,"or(subset_eq(index(cardinality(A), union(A, B)), union(difference(A, B), difference(B, A))), greater_than(cardinality(A), cardinality(difference(B, A))))",5054
863,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), difference(A, B))), index(cardinality(difference(B, A)), B))",6359
864,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), difference(A, B))",1600
865,"or(or(subset_eq(A, B), greater_than(cardinality(B), cardinality(A))), subset_eq(B, index(cardinality(B), union(A, B))))",3684
866,"subset_eq(difference(A, index(cardinality(B), A)), index(cardinality(difference(A, A)), A))",7271
867,"and(or(subset_eq(A, B), subset_eq(A, difference(A, B))), not(greater_than(cardinality(A), cardinality(B))))",692
868,"subset_eq(union(difference(B, A), index(cardinality(A), union(A, B))), index(cardinality(B), union(difference(A, B), difference(B, A))))",6042
869,"subset_eq(union(index(cardinality(A), B), index(cardinality(A), union(A, B))), union(difference(A, B), index(cardinality(A), difference(B, A))))",6200
870,"subset_eq(union(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))), difference(A, index(cardinality(A), union(A, B))))",6847
871,"subset_eq(union(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))), difference(B, index(cardinality(A), union(A, B))))",6850
872,"subset_eq(intersection(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), intersection(A, B)))",7236
873,"and(subset_eq(index(cardinality(B), union(A, B)), difference(B, A)), greater_than(cardinality(difference(B, A)), cardinality(intersection(A, B))))",2632
874,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), difference(union(A, B), index(cardinality(A), union(A, B))))",9191
875,"and(not(subset_eq(B, difference(A, A))), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), B)))",1840
876,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), difference(union(difference(A, B), difference(B, A)), index(cardinality(B), union(A, B))))",6698
877,"and(not(subset_eq(B, A)), subset_eq(A, index(cardinality(B), union(A, B))))",286
878,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), union(difference(B, A), index(cardinality(A), B)))",9160
879,"subset_eq(difference(union(A, B), index(cardinality(A), B)), index(cardinality(difference(A, A)), difference(B, A)))",7435
880,"and(subset_eq(index(cardinality(A), difference(B, A)), A), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), B)))",2334
881,"or(subset_eq(index(cardinality(A), union(A, B)), B), subset_eq(index(cardinality(A), B), index(cardinality(A), difference(B, A))))",4768
882,"or(subset_eq(intersection(A, B), index(cardinality(B), union(A, B))), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",4501
883,"subset_eq(index(cardinality(difference(B, A)), A), difference(B, index(cardinality(A), union(A, B))))",8721
884,"and(subset_eq(intersection(A, B), index(cardinality(B), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), B)))",2025
885,"subset_eq(index(cardinality(difference(A, B)), B), difference(B, index(cardinality(B), union(A, B))))",8666
886,"subset_eq(difference(index(cardinality(B), union(A, B)), intersection(A, B)), index(cardinality(difference(B, A)), union(difference(A, B), difference(B, A))))",7196
887,"subset_eq(index(cardinality(intersection(A, B)), A), index(cardinality(difference(B, A)), union(difference(A, B), difference(B, A))))",8445
888,"subset_eq(union(difference(A, B), index(cardinality(A), difference(B, A))), index(cardinality(intersection(A, B)), index(cardinality(A), union(A, B))))",5989
889,"and(not(or(subset_eq(A, B), subset_eq(B, A))), subset_eq(intersection(A, B), index(cardinality(A), B)))",475
890,"or(subset_eq(difference(B, A), index(cardinality(B), union(A, B))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))))",4669
891,"subset_eq(index(cardinality(difference(A, A)), union(difference(A, B), difference(B, A))), union(A, index(cardinality(A), difference(B, A))))",9375
