expression,force,flavor,can_express,polarity,register,syntactically_negated,full_form,notes
Aat ca,strong,teleological,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,weak necessity,teleological,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,weak,teleological,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,strong,circumstantial,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,weak,circumstantial,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ca,strong,bouletic,?,negative,conversational,yes,aat ca mai+v,negation on main verb
Aat ,strong,epistemic,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,weak necessity,epistemic,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,weak,epistemic,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,strong,deontic,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,weak necessity,deontic,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,weak,deontic,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,strong,teleological,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,weak necessity,teleological,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,weak,teleological,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,strong,circumstantial,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,weak,circumstantial,?,negative,conversational,yes,aat mai+V,negation on main verb
Aat ,strong,bouletic,?,negative,conversational,yes,aat mai+V,negation on main verb
Jambpen,strong,epistemic,?,negative,-,yes,Mai jambpen,
Jambpen,weak necessity,epistemic,?,negative,-,yes,Mai jambpen,
Jambpen,weak,epistemic,?,negative,-,yes,Mai jambpen,
Jambpen,strong,deontic,1,negative,-,yes,Mai jambpen,
Jambpen,weak necessity,deontic,?,negative,-,yes,Mai jambpen,
Jambpen,weak,deontic,?,negative,-,yes,Mai jambpen,
Jambpen,strong,teleological,1,negative,-,yes,Mai jambpen,
Jambpen,weak necessity,teleological,?,negative,-,yes,Mai jambpen,
Jambpen,weak,teleological,?,negative,-,yes,Mai jambpen,
Jambpen,strong,circumstantial,?,negative,-,yes,Mai jambpen,
Jambpen,weak,circumstantial,?,negative,-,yes,Mai jambpen,
Jambpen,strong,bouletic,?,negative,-,yes,Mai jambpen,
Jambpen dong,strong,epistemic,?,negative,-,yes,Mai jambpen dong,
